patent_id,Cluster
1029553,0
992094,0
705025,0
1019607,0
332382,0
1019845,0
63129,0
658467,0
957759,0
1358679,0
1011136,0
1184966,0
572951,0
801397,0
623507,0
741825,0
543046,0
877674,0
645823,0
447486,0
483721,0
354946,0
277507,0
1198818,0
1359598,0
491406,0
364649,0
863167,0
734754,0
1034965,0
252489,0
416977,0
1067628,0
1201501,0
1037779,0
1088930,0
1205306,0
791261,0
931941,0
899601,0
337211,0
1129979,0
709108,0
1026201,0
338609,0
585807,0
1231909,0
1047088,0
825707,0
1011118,0
1070624,0
546968,0
1040431,0
544726,0
661186,0
911174,0
645100,0
861792,0
995801,0
797781,0
678743,0
515444,0
1346876,0
69160,0
507406,0
302725,0
1245800,0
47803,0
489070,0
1142682,0
267243,0
765022,0
535189,0
860529,0
157039,0
293501,0
235384,0
887116,0
424841,0
886950,0
887496,0
246521,0
251132,0
922107,0
556450,0
633226,0
633928,0
1020258,0
1365404,0
351083,0
1366218,0
213301,0
305521,0
346135,0
400170,0
1054212,0
1181622,0
50063,0
572099,0
1362979,0
881882,0
262579,0
351341,0
1365246,0
448339,0
1287463,0
48374,0
291171,0
444943,0
537079,0
528617,0
628033,0
667291,0
520091,0
605591,0
118276,0
803687,0
524777,0
908166,0
951013,0
934793,0
812559,0
772850,0
578020,0
925560,0
475906,0
563372,0
1334753,0
464837,0
525441,0
860766,0
1332444,0
713735,0
1359017,0
540264,0
558482,0
234297,0
794742,0
137726,0
1294558,0
585363,0
267817,0
693299,0
503349,0
724153,0
987026,0
834479,0
982221,0
737555,0
1016974,0
1278911,0
857987,0
1092862,0
530405,0
1307986,0
892371,0
904307,0
378261,0
625391,0
1004626,0
549581,0
1296165,0
1109470,0
321314,0
585821,0
601660,0
1114353,0
273234,0
1293284,0
928284,0
1228733,0
697962,0
528538,0
624419,0
797345,0
413943,0
751856,0
876785,0
531795,0
846908,0
1306454,0
1135376,0
955960,0
243846,0
407611,0
806516,0
598125,0
1079238,0
121435,0
956969,0
695208,0
820155,0
1023272,0
907798,0
693464,0
465094,0
1209292,0
653254,0
913817,0
377249,0
617764,0
1287068,0
737471,0
1230634,0
524645,0
603424,0
853228,0
1066935,0
336276,0
1374437,0
1016725,0
964824,0
232432,0
676939,0
252928,0
946861,0
1050950,0
203694,0
336510,0
1105654,0
999995,0
787377,0
459976,0
608650,0
990277,0
1261333,0
1086549,0
1062762,0
450452,0
1042897,0
1177186,0
1250895,0
398774,0
1342907,0
1099424,0
539714,0
945732,0
582563,0
305131,0
867600,0
774199,0
527502,0
938476,0
700218,0
909262,0
640856,0
743982,0
995387,0
1374089,0
608089,0
1305719,0
572181,0
455549,0
452226,0
536527,0
1109464,0
495223,0
54135,0
716392,0
852730,0
523956,0
319885,0
364760,0
631440,0
821817,0
423102,0
1143007,0
1093598,0
825762,0
564477,0
399966,0
473363,0
301592,0
361359,0
538717,0
1322843,0
927161,0
1266973,0
549969,0
716954,0
980775,0
1327539,0
574418,0
542364,0
659532,0
785157,0
636475,0
1169935,0
